Question,Answer
How is dLdW computed in terms of A and dLdZ?,dLdW is computed as A.T @ dLdZ (transpose of A multiplied by dLdZ)
What are the dimensions of dLdW for a layer?,"dLdW has dimensions 𝑚𝑙×𝑛𝑙, matching the dimensions of the weight matrix W"
What Python operator is used for matrix multiplication in the homework?,The @ operator is used for matrix multiplication in Python
How is matrix transpose denoted in the Python expressions?,Matrix transpose is denoted using .T in Python
What special consideration is given for ReLU's derivative at x=0?,"For the homework, the derivative of ReLU at x=0 is assumed to be 0, even though ReLU is technically not differentiable at 0"
"In linear classification, if we permute the order of features in a linearly separable dataset, will the dataset remain linearly separable?","Yes, because we can apply the same permutation to the θ values learned in the original problem such that θᵀx+θ₀ equals the same value as before"
Can rearranging feature order make a non-separable dataset linearly separable?,"No, because if changing the order made it separable, we could have permuted θ instead to get a separator, contradicting the premise of non-separability"
"For a feature transformation φ(x₁,x₂)=√(x₁²+x₂²), can it make previously non-separable data separable?","Yes, this transformation converts coordinates to distance from origin, which can separate data that forms circular patterns"
"For a feature transformation φ(x₁,x₂)=x₁-x₂, can it make previously non-separable data separable?","No, this is still a linear transformation and cannot separate data that wasn't linearly separable in original space"
"For a feature transformation φ(x₁,x₂)=|x₁+x₂|, can it make previously non-separable data separable?","No, this transformation alone cannot separate data that wasn't linearly separable originally"
"For a feature transformation φ(x₁,x₂)=|x₁|+|x₂|, can it make previously non-separable data separable?","Yes, this transformation can separate data that forms diamond-shaped patterns"
"Given a dataset D={(([0,0,0],0), ([1,1,0],0), ([1,0,1],1), ([0,1,1],1))}, is it separable in [x₁,x₂] space?","No, this is the classic XOR problem which is not linearly separable in two dimensions"
"Given a dataset D={(([0,0,0],0), ([1,1,0],0), ([1,0,1],1), ([0,1,1],1))}, is it separable in [x₃] space?","Yes, all points with label 0 have x₃=0 and all points with label 1 have x₃=1"
"Given a dataset D={(([0,0,0],0), ([1,1,0],0), ([1,0,1],1), ([0,1,1],1))}, is it separable in [x₁,x₂,x₃] space?","Yes, because it's separable in x₃ alone, it must be separable in the higher dimensional space"
"Given a dataset D={(([0,0,1],0), ([0,1,0],0), ([1,1,1],1), ([1,0,0],1))}, is it separable in [x₁,x₂] space?","Yes, all points can be separated by x₁ value alone"
"For a 2D non-separable dataset, can a linear transformation φ(x)=Ax where A is a 2×2 matrix make it separable?","No, because any linear transformation could be expressed as part of the original classifier, contradicting non-separability"
"For a separable dataset, what matrix transformation A would make it not separable?","The zero matrix [[0,0],[0,0]] will collapse all points to origin, making separation impossible"
"In one-hot encoding a cell phone dataset (Samsung=1 to Nokia=6) with {([2],1),([3],1),([4],-1),([5],-1)}, what θ value with θ₀=7 separates the data?","-2, as this creates correct classification: -2(2)+7>0, -2(3)+7>0, -2(4)+7<0, -2(5)+7<0"
"With the cell phone classifier (θ=-2,θ₀=7), what are predictions for Samsung(1) and Nokia(6)?","Samsung classified as positive (-2(1)+7=5>0), Nokia as negative (-2(6)+7=-5<0)"
Are predictions from integer-encoded phone brands meaningful given training data?,"No, because predictions are based on arbitrary ordering of brands as integers"
How many dimensions are needed to represent color(red/blue/green) and size(small/medium/large) using independent one-hot vectors?,6 dimensions total - 3 dimensions for color and 3 dimensions for size
"When using polynomial features in regression, what happens if order equals n-1 (n=number of data points)?","The model overfits to training data, achieving perfect fit but failing to generalize to new points"
Why does polynomial regression fail for orders 10 or higher?,The analytic solution becomes undefined as orders higher than data points have no exact solution
"How do parameter magnitudes (θ,θ₀) change with increasing polynomial order?","They increase in magnitude, indicating overfitting"
"If positive label points satisfy x₂=x₁²+2 and negative points satisfy x₂=x₁²-1, can transformation φ(x₁,x₂)=[x₁²+x₂,x₂] separate the data?","Yes, because a linear combination of these features can produce x₂-x₁² which separates the classes"
"If positive label points satisfy x₂=x₁²+2 and negative points satisfy x₂=x₁²-1, can transformation φ(x₁,x₂)=[-x₁²+x₂] separate the data?","Yes, this directly gives x₂-x₁² which separates the classes"
"If positive label points satisfy x₂=x₁²+2 and negative points satisfy x₂=x₁²-1, can transformation φ(x₁,x₂)=[x₁²,x₂²] separate the data?","No, this transformation doesn't preserve the relationship between x₂ and x₁² needed for separation"
"In ridge regression with polynomial features, how do higher λ values affect the fit?",Higher λ produces fits similar to lower order polynomials by reducing weights of higher-order terms
What's the benefit of using encoding B (independent one-hot vectors) over encoding A (single one-hot vector) for presents data?,"Encoding B allows sharing information between similar features, enabling better generalization when a new point shares size or color with training points"
Why might encoding A (single one-hot vector) perform poorly on unseen combinations?,"Because it treats each combination independently, giving no weight to shared attributes between combinations"
What happens to weights in regularized LLC for unseen feature combinations in encoding A?,"They get regularized to zero, leading to 0.5 probability predictions for unseen combinations"
"For a dataset with positive points at (x₁,x₂=x₁²+2) and negative at (x₁,x₂=x₁²-1), can φ(x₁,x₂)=[x₁,x₂,x₁-x₁²] separate data?","Yes, because we can obtain x₂-x₁² through linear combination of features"
When does regularization help prevent overfitting in polynomial regression?,When λ is large enough to reduce the influence of higher-order terms that might cause the function to oscillate between data points
What's the relationship between polynomial order and model complexity?,"Higher orders allow more complex functions but increase risk of overfitting, especially when order approaches number of data points"
What is an attention matrix?,An attention matrix represents weights that determine how much each token in a sequence should focus on other tokens. Each row must sum to 1 as it represents a probability distribution over all tokens.
"In a transformer with 3 tokens and embedding dimension 5, what is the dimension of one attention head's Query matrix?","[3, 5] - The Query matrix has dimensions (number of tokens × embedding dimension)"
What are the three key matrices needed for each attention head in a transformer?,"Query matrix (Q), Key matrix (K), and Value matrix (V). Each is created by multiplying the input by learned weight matrices Wq, Wk, and Wv respectively."
Why do we divide attention scores by sqrt(dk) in the transformer attention mechanism?,"This scaling factor prevents dot products from growing too large in magnitude for high dimensions, which could push the softmax function into regions with very small gradients."
How are residual connections implemented in a transformer?,"Residual connections add the input directly to the output of a layer: output = x + F(x), where F(x) is the layer transformation."
What is the main benefit of using multiple attention heads?,"Multiple heads allow the model to capture different types of relationships or patterns in parallel, with each head potentially focusing on different aspects of the relationships between tokens."
"In a transformer with sequence length 4, what is the dimension of the attention matrix?","[4, 4] - The attention matrix is always square with dimensions (sequence_length × sequence_length)"
How does a residual connection help with vanishing gradients?,"Residual connections provide direct paths for gradient flow during backpropagation, preserving the gradient signal even when it might vanish through deeper layers."
What is the purpose of the softmax function in attention mechanisms?,"Softmax converts attention scores into a probability distribution, ensuring all weights are between 0 and 1 and sum to 1 for each query token."
What determines the number of weights in an attention head's linear projection?,"The number of weights is determined by input dimension × output dimension. For example, projecting from dimension d to dk requires d × dk weights."
How are positional encodings typically added in transformers?,Positional encodings are added directly to the token embeddings before the first attention layer to give the model information about token positions.
What is the typical implementation of multi-head attention's final output layer?,"The outputs from all heads are concatenated along the feature dimension, then projected through a final linear layer to the desired output dimension."
"In self-attention, what is the relationship between Q, K, and V matrices?","They are all derived from the same input sequence but through different learned transformations (Wq, Wk, Wv), allowing the model to compare each position with all others."
What is the mathematical formula for computing attention scores?,"Attention(Q,K,V) = softmax(QK^T/sqrt(dk))V, where Q is queries, K is keys, V is values, and dk is the dimension of the key vectors."
Why do transformers use layer normalization?,"Layer normalization helps stabilize the training process by normalizing the activations across the feature dimension, reducing internal covariate shift."
What is the purpose of the feed-forward network after attention in a transformer block?,"The feed-forward network processes each position independently, allowing the model to transform the attention-weighted information and introduce non-linearity."
How does masking work in transformer attention?,"Masking sets certain attention scores to negative infinity before softmax, effectively zeroing out those connections in the attention distribution."
What is the difference between encoder and decoder attention masks?,"Encoder attention allows all tokens to attend to all positions, while decoder attention masks future positions to prevent tokens from attending to subsequent tokens."
How do we handle variable sequence lengths in transformer attention?,"Variable sequences are typically padded to a fixed length, and a mask is applied to prevent attention to padding tokens by setting their attention scores to negative infinity."
What is the role of the scaling factor in attention mechanisms?,"The scaling factor 1/sqrt(dk) prevents the dot products from growing too large with high dimensions, which could lead to very small gradients in the softmax function."
"In 2D gradient descent with θ = [θ1; θ2] and objective function f(θ)=-3θ1 -θ1θ2 + 2θ2 + θ1^2 + θ2^2, what is the first component of ∇θf(θ)?",-3 - θ2 + 2θ1
"In 2D gradient descent with θ = [θ1; θ2] and objective function f(θ)=-3θ1 -θ1θ2 + 2θ2 + θ1^2 + θ2^2, what is the second component of ∇θf(θ)?",-θ1 + 2 + 2θ2
"In 2D gradient descent with objective function f(θ)=-3θ1 -θ1θ2 + 2θ2 + θ1^2 + θ2^2, what is f([1;1])?","0, calculated as: -3(1)-(1)(1)+2(1)+(1)^2 + (1)^2 = -3 - 1 + 2 + 1 + 1 = 0"
"In 2D gradient descent with f(θ)=-3θ1 -θ1θ2 + 2θ2 + θ1^2 + θ2^2, if we start at θ=[1;1] and take one step of gradient descent with step-size η=0.1, what's the next value of θ?","[1.2, 0.7], calculated by subtracting 0.1 times the gradient [-2, 3] from [1, 1]"
"In 2D gradient descent with f(θ)=-3θ1 -θ1θ2 + 2θ2 + θ1^2 + θ2^2, what is f([1.2;0.7])?","-1.11, calculated as -3(1.2) - (1.2)(0.7) + 2(0.7) + (1.2)^2 + (0.7)^2"
"In 2D gradient descent with f(θ)=-3θ1 -θ1θ2 + 2θ2 + θ1^2 + θ2^2, if we start at θ=[1;1] and take one step with step-size η=1.0, what's the next value of θ?","[3, -2], calculated by subtracting 1.0 times the gradient [-2, 3] from [1, 1]"
"In 2D gradient descent with f(θ)=-3θ1 -θ1θ2 + 2θ2 + θ1^2 + θ2^2, what is f([3;-2])?","6, calculated as -3(3) - (3)(-2) + 2(-2) + (3)^2 + (-2)^2"
"For loss function L1(g,a)=|g-a| (absolute difference), does it penalize big differences between g and a more than, same as, or less than squared error?","Less than squared error. For any large difference >1, the absolute value will be less than its square."
"For Pseudo-Huber loss Lh(g,a)=√(1+(g-a)^2)-1, does it penalize big differences between g and a more than, same as, or less than squared error?","Less than squared error. For large |g-a|, Pseudo-Huber loss grows linearly while squared error grows quadratically."
"What is the derivative of Pseudo-Huber loss Lh(g,a)=√(1+(g-a)^2)-1 with respect to g?","(g-a)/√(1+(g-a)^2), derived using chain rule"
"In ridge regression with objective J_ridge(θ,θ0)=(1/n)∑(θᵀx^(i)+θ0-y^(i))^2+λ||θ||^2, what is the function f(x,y;θ,θ0) that makes the objective equivalent to ∑f?",(1/n)((θᵀx+θ0-y)^2+λθᵀθ)
"In a 1D regression problem with hypothesis h(x;θ)=θx and dataset {(1,1),(1,-1)}, what value of θ minimizes the mean squared loss?","0, because it minimizes (θ-1)^2+(θ+1)^2=2θ^2+2"
"Starting from θ=1 with step size η=0.2, what are the values of θ after first two steps of batch gradient descent for the 1D regression with dataset {(1,1),(1,-1)}?","[0.6, 0.36], calculated using gradient -2θ"
"For 1D regression with dataset {(1,1),(1,-1)}, starting at θ=-1/9 with step size η=0.2 and alternating between data points starting with (1,1), what are the first four θ values in SGD?","[1/9, -1/9, 1/9, -1/9], showing oscillation between values"
"In a fully-connected feedforward network, how many weights (including biases) are needed for one layer with 100 inputs and 80 outputs?","8080 weights are needed (80 units × 101 incoming weights each, where the 101 consists of 100 input weights plus 1 bias per output unit)"
"For a CNN with input size 100, 10 filters of size 5, zero-padding of 2 on both ends, and stride of 1, what are the dimensions of the output?","[100, 10] - The length remains 100 due to padding and stride=1, and there are 10 channels from the 10 filters"
How many weights (including bias) are needed to specify the map from input to output in a CNN layer with 10 filters of size 5?,"60 weights total - each filter has 5 weights plus 1 bias, and there are 10 filters"
"For a zero-padded max pooling layer with input size 100, pool size 3, stride 2, and padding size 1, what are the output dimensions?",[50] - The stride of 2 reduces the dimension by half
How many weights are needed to specify a max pooling layer?,0 weights - max pooling layers don't have any learnable parameters
"In converting a convolutional layer to fully connected form, if filter f=(w₁,w₂,w₃) with stride 1 and padding 1 generates output z, what is the correct form of matrix Wᵀ for z=Wᵀx?","[[w₂,w₃,0,0], [w₁,w₂,w₃,0], [0,w₁,w₂,w₃], [0,0,w₁,w₂]] - This shows how the filter slides across the input"
"In a CNN designed to detect a specific pattern, what bias value W₀ would guarantee positive ReLU output only for exact pattern matches when max pooling is used?","Any value between -9 and -7 would work, as exact matches give score 9 while partial matches give at most 7"
"For 1D data with input [0 0 1 1 0 0 1 0], what 3x1 filter and offset produces output [0 0 0 0 0 0 1 0]?","Filter=[-2, 1, -2] and offset=-0.5 works (other similar solutions possible) as this detects the specific pattern"
"If we take two 1D images [0 0 0 0 0 0 1 0] and [0 0 0 0 0 1 0 0] as channels and convolve with [[[1,1]]], what's the result?","[0, 0, 0, 0, 0, 1, 1, 0] - The 1x1 filter adds the two channels together"
"In a CNN for cat detection where training images have cats in lower left quadrant, can a CNN with 20x20 kernel and global max pooling generalize to cats in upper right?","Yes, because the large kernel can detect the cat pattern and max pooling makes the detection location-invariant"
"For cat detection, with a CNN using 3x3 kernel, ReLU, flatten, and linear layer, can it reliably detect cats in training data?","No, because the 3x3 kernel is too small to capture the full cat pattern which requires at least 20x20 pixels"
"For cat detection, can a CNN with three conv layers (3x3 kernel), ReLU, and max pooling between them detect cats reliably?","Yes, because multiple layers build a hierarchy of features that can cover the required receptive field for cat detection"
Can a fully-connected network with many layers achieve high training accuracy on cat detection data?,"Yes, because it has enough parameters to memorize the training data patterns"
Would the fully-connected network generalize well to cats in different positions?,"No, because it lacks the translation invariance properties of CNNs with pooling layers"
"When implementing CNN layers in PyTorch, what parameters are needed for Conv2d?","in_channels, out_channels, and kernel_size are required parameters, with optional stride and padding"
What happens when CNN kernel size gets too large relative to input?,The network becomes overparameterized and may struggle to learn effectively
Why is max pooling useful in CNNs?,It provides translation invariance and reduces spatial dimensions while preserving important features
What's the difference between valid and same padding in convolutions?,"Valid padding uses no padding, while same padding preserves input dimensions by adding appropriate padding"
How does stride affect output size in convolution?,Output size = (Input size - Kernel size + 2*Padding)/Stride + 1
What's the benefit of using multiple conv layers instead of one large kernel?,Multiple layers can learn hierarchical features with fewer parameters than one large kernel
How does the number of parameters compare between CNN and fully-connected layers?,CNNs have far fewer parameters due to parameter sharing in convolution kernels
Why use ReLU activation between conv layers?,ReLU introduces non-linearity and helps prevent vanishing gradients
What's the purpose of flattening layer in CNNs?,It converts the 2D/3D feature maps into 1D vectors for fully connected layers
How does dropout help in CNN training?,It prevents overfitting by randomly zeroing activations during training
What determines the number of channels in CNN output?,The number of filters (kernels) in the convolutional layer
Why use multiple channels in input to conv layers?,Multiple channels can capture different aspects/features of the input
How does batch normalization help CNN training?,"It stabilizes training by normalizing activations, allowing higher learning rates"
What's the advantage of 1x1 convolutions?,They can change the number of channels and add non-linearity without spatial effects
How do you calculate receptive field size in CNN?,Accumulate the product of all strides and add kernel sizes through the layers
Why use global average pooling instead of flattening?,It reduces parameters and provides some translation invariance
What's the purpose of dilated convolutions?,They increase receptive field without increasing parameters or reducing resolution
How does channel-wise convolution differ from regular convolution?,It applies separate filters to each input channel independently
Why use cross-entropy loss for CNN classification?,It's suitable for multi-class problems and provides good gradients
What initializations work well for CNN layers?,"He initialization for ReLU networks, Xavier/Glorot for tanh activations"
